ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
20025,laundryman,NN,3,"0,2,1",{(launder)>y>}{(man)},71.4285714285714,8,3852,53.0784708249497,2486,3870233,4.99E-05,0.029816159431485,74.2857142857142,211,300379,3
20026,laundrymen,NN,3,"0,2,1",{(launder)>y>}{(men)},100,8,3852,69.496981891348,2486,3870233,4.99E-05,0.029816159431485,82.1656050955414,158,125014,3
20118,leaseholders,NN,3,"0,2,1",{(lease)}{(hold)}>er>,100,4,7251,89.6551724137931,30,140327,71.9313682358117,2274,4569119,2,3.55E-05,0.025027035377723
20280,leucotomies,NN,3,"0,2,1",{(leuk)(tom)>y>},0,1,10,85.7142857142857,15,67254,56.0160965794768,2486,3870233,1,4.99E-05,0.029816159431485
20285,leucotomy,NN,3,"0,2,1",{(leuk)(tom)>y>},0,1,10,85.7142857142857,15,67254,56.0160965794768,2486,3870233,1,4.99E-05,0.029816159431485
20289,kleptomaniacs,NN,3,"0,2,1",{(klepto)(mania)>iac>},0,2,41,40,16,2751,69.2307692307692,14,1568,3,0.000637755102041,0.000154487872702
20640,lamplighters,NN,3,"0,2,1",{(lamp)}{(light)}>er>,25,9,8765,63.6363636363636,45,176000,42.8508578970523,2274,4569119,2,3.55E-05,0.025027035377723
20664,landholders,NN,3,"0,2,1",{(land)}{(hold)}>er>,65.5172413793103,59,140623,62.0689655172413,30,140327,52.9256489221293,2274,4569119,2,3.55E-05,0.025027035377723
20743,juryman,NN,3,"0,2,1",{(jur)>y>}(man),94.7368421052631,20,16877,81.0865191146881,2486,3870233,4.99E-05,0.029816159431485,90.9523809523809,211,300379,3
20744,jurymen,NN,3,"0,2,1",{(jur)>y>}(men),84.2105263157894,20,16877,57.907444668008,2486,3870233,4.99E-05,0.029816159431485,66.2420382165605,158,125014,3
20746,jurywomen,NN,3,"0,2,1",{(jur)>y>}(women),94.7368421052631,20,16877,81.0865191146881,2486,3870233,4.99E-05,0.029816159431485,72.4137931034482,30,123504,5
20775,kaleidoscopic,JJ,3,"0,2,1",{(kaleido)(scope)}>ic>,50,3,204,66.6666666666666,25,22421,70.3849950641658,1014,1472797,2,2.78E-05,0.006334002780782
20934,keyboarder,NN,3,"0,2,1",{(key)}{(board)}>er>,72.7272727272727,12,173057,64.2857142857142,57,163026,53.7175538935327,2274,4569119,2,3.55E-05,0.025027035377723
20935,keyboarders,NN,3,"0,2,1",{(key)}{(board)}>er>,72.7272727272727,12,173057,64.2857142857142,57,163026,53.7175538935327,2274,4569119,2,3.55E-05,0.025027035377723
21011,kingfishers,NN,3,"0,2,1",{(king)}{(fish)}>er>,33.3333333333333,13,81094,50,31,56578,44.0387153541575,2274,4569119,2,3.55E-05,0.025027035377723
21016,kingmaker,NN,3,"0,2,1",{(king)}{(make)}>er>,25,13,81094,48.7179487179487,40,1073485,43.9067311922569,2274,4569119,2,3.55E-05,0.025027035377723
21017,kingmakers,NN,3,"0,2,1",{(king)}{(make)}>er>,25,13,81094,48.7179487179487,40,1073485,43.9067311922569,2274,4569119,2,3.55E-05,0.025027035377723
21206,jawbreakers,NN,3,"0,2,1",{(jaw)}{(break)}>er>,33.3333333333333,4,4292,45.4545454545454,34,95043,39.6392432908051,2274,4569119,2,3.55E-05,0.025027035377723
21212,jaywalker,NN,3,"0,2,1",{(jay)}{(walk)}>er>,100,4,17967,77.7777777777777,19,87736,54.9054113506379,2274,4569119,2,3.55E-05,0.025027035377723
21213,jaywalkers,NN,3,"0,2,1",{(jay)}{(walk)}>er>,100,4,17967,77.7777777777777,19,87736,54.9054113506379,2274,4569119,2,3.55E-05,0.025027035377723
21777,ironmongeries,NN,3,"0,2,1",{(iron)}{(monger)}>y>,78.5714285714285,15,31509,90,11,813,66.0362173038229,2486,3870233,1,4.99E-05,0.029816159431485
21779,ironmongery,NN,3,"0,2,1",{(iron)}{(monger)}>y>,78.5714285714285,15,31509,90,11,813,66.0362173038229,2486,3870233,1,4.99E-05,0.029816159431485
21837,ISOTOPIC,JJ,3,"0,2,1",{(iso)(tope)}>ic>,27.2727272727272,12,1619,33.3333333333333,4,1278,51.6288252714708,1014,1472797,2,2.78E-05,0.006334002780782
21900,Indonesians,NN,3,"0,2,1",{(indo)(nesia)}>n>,60,6,68287,50,3,7276,20.1342281879194,150,714837,1,1.12E-05,0.001235902981616
